time,u_in,Vin,f_cmd,f_m,integral,uff
0.378,0.865777,0.865777,4.00,3.391746,0.380926,1.209231
0.379,0.870130,0.870130,4.00,3.385529,0.381540,1.209231
0.380,0.882213,0.882213,4.00,3.368267,0.382172,1.209231
0.381,0.893296,0.893296,4.00,3.352434,0.382820,1.209231
0.382,0.898588,0.898588,4.00,3.344874,0.383475,1.209231
0.383,0.898817,0.898817,4.00,3.344547,0.384130,1.209231
0.384,0.899018,0.899018,4.00,3.344260,0.384786,1.209231
0.385,0.903744,0.903744,4.00,3.337509,0.385448,1.209231
0.386,0.903325,0.903325,4.00,3.338107,0.386110,1.209231
0.387,0.902959,0.902959,4.00,3.338630,0.386772,1.209231
0.388,0.893842,0.893842,4.00,3.351654,0.387420,1.209231
0.389,0.894668,0.894668,4.00,3.350475,0.388070,1.209231
0.390,0.887224,0.887224,4.00,3.361109,0.388709,1.209231
0.391,0.880085,0.880085,4.00,3.371308,0.389337,1.209231
0.392,0.877181,0.877181,4.00,3.375456,0.389962,1.209231
0.393,0.875702,0.875702,4.00,3.377569,0.390584,1.209231
0.394,0.889766,0.889766,4.00,3.357478,0.391227,1.209231
0.395,0.886705,0.886705,4.00,3.361850,0.391865,1.209231
0.396,0.879631,0.879631,4.00,3.371956,0.392493,1.209231
0.397,0.886640,0.886640,4.00,3.361942,0.393131,1.209231
0.398,0.883973,0.883973,4.00,3.365753,0.393765,1.209231
0.399,0.875755,0.875755,4.00,3.377493,0.394388,1.209231
0.400,0.874455,0.874455,4.00,3.379350,0.395008,1.209231
0.401,0.882115,0.882115,4.00,3.368407,0.395640,1.209231
0.402,0.893211,0.893211,4.00,3.352556,0.396287,1.209231
0.403,0.898514,0.898514,4.00,3.344980,0.396942,1.209231
0.404,0.886871,0.886871,4.00,3.361612,0.397581,1.209231
0.405,0.879776,0.879776,4.00,3.371748,0.398209,1.209231
0.406,0.877971,0.877971,4.00,3.374327,0.398835,1.209231
0.407,0.876393,0.876393,4.00,3.376582,0.399458,1.209231
0.408,0.883809,0.883809,4.00,3.365987,0.400092,1.209231
0.409,0.882769,0.882769,4.00,3.367474,0.400725,1.209231
0.410,0.871791,0.871791,4.00,3.383156,0.401342,1.209231
0.411,0.870989,0.870989,4.00,3.384301,0.401957,1.209231
0.412,0.865890,0.865890,4.00,3.391586,0.402566,1.209231
0.413,0.857033,0.857033,4.00,3.404238,0.403161,1.209231
0.414,0.838673,0.838673,4.00,3.430467,0.403731,1.209231
0.415,0.837635,0.837635,4.00,3.431950,0.404299,1.209231
0.416,0.832329,0.832329,4.00,3.439530,0.404859,1.209231
0.417,0.827690,0.827690,4.00,3.446157,0.405413,1.209231
