time,u_in,Vin,f_cmd,f_m,integral,uff
0.273,-0.391808,0.000000,4.00,4.831808,0.271961,1.209231
0.274,-0.407537,0.000000,4.00,4.847537,0.271113,1.209231
0.275,-0.452706,0.000000,4.00,4.892706,0.270220,1.209231
0.276,-0.507880,0.000000,4.00,4.947880,0.269273,1.209231
0.277,-0.515306,0.000000,4.00,4.955306,0.268317,1.209231
0.278,-0.509234,0.000000,4.00,4.949234,0.267368,1.209231
0.279,-0.592169,0.000000,4.00,5.032169,0.266336,1.209231
0.280,-0.620419,0.000000,4.00,5.060419,0.265275,1.209231
0.281,-0.638837,0.000000,4.00,5.078837,0.264197,1.209231
0.282,-0.662736,0.000000,4.00,5.102736,0.263094,1.209231
0.283,-0.675836,0.000000,4.00,5.115836,0.261978,1.209231
0.284,-0.693572,0.000000,4.00,5.133572,0.260844,1.209231
0.285,-0.696514,0.000000,4.00,5.136514,0.259708,1.209231
0.286,-0.705369,0.000000,4.00,5.145369,0.258563,1.209231
0.287,-0.701821,0.000000,4.00,5.141821,0.257421,1.209231
0.288,-0.691159,0.000000,4.00,5.131159,0.256290,1.209231
0.289,-0.681838,0.000000,4.00,5.121838,0.255168,1.209231
0.290,-0.679971,0.000000,4.00,5.119971,0.254048,1.209231
0.291,-0.678338,0.000000,4.00,5.118338,0.252929,1.209231
0.292,-0.645036,0.000000,4.00,5.085036,0.251844,1.209231
0.293,-0.635228,0.000000,4.00,5.075228,0.250769,1.209231
0.294,-0.639218,0.000000,4.00,5.079218,0.249690,1.209231
0.295,-0.630140,0.000000,4.00,5.070140,0.248620,1.209231
0.296,-0.622203,0.000000,4.00,5.062203,0.247558,1.209231
0.297,-0.603703,0.000000,4.00,5.043703,0.246514,1.209231
0.298,-0.567672,0.000000,4.00,5.007672,0.245506,1.209231
0.299,-0.548735,0.000000,4.00,4.988735,0.244518,1.209231
0.300,-0.538462,0.000000,4.00,4.978462,0.243539,1.209231
0.301,-0.516913,0.000000,4.00,4.956913,0.242582,1.209231
0.302,-0.482388,0.000000,4.00,4.922388,0.241660,1.209231
0.303,-0.467885,0.000000,4.00,4.907885,0.240752,1.209231
0.304,-0.426848,0.000000,4.00,4.866848,0.239885,1.209231
0.305,-0.413042,0.000000,4.00,4.853042,0.239032,1.209231
0.306,-0.366862,0.000000,4.00,4.806862,0.238225,1.209231
0.307,-0.341744,0.000000,4.00,4.781744,0.237443,1.209231
0.308,-0.326066,0.000000,4.00,4.766066,0.236677,1.209231
0.309,-0.299791,0.000000,4.00,4.739791,0.235938,1.209231
0.310,-0.276819,0.000000,4.00,4.716819,0.235221,1.209231
0.311,-0.203051,0.000000,4.00,4.643051,0.234578,1.209231
0.312,-0.173385,0.000000,4.00,4.613385,0.233964,1.209231
0.313,-0.160014,0.000000,4.00,4.600014,0.233364,1.209231
0.314,-0.135757,0.000000,4.00,4.575757,0.232789,1.209231
0.315,-0.101981,0.000000,4.00,4.541981,0.232247,1.209231
0.316,-0.058407,0.000000,4.00,4.498407,0.231748,1.209231
0.317,-0.040635,0.000000,4.00,4.480635,0.231267,1.209231
0.318,-0.006246,0.000000,4.00,4.446246,0.230821,1.209231
0.319,0.011255,0.011255,4.00,4.428745,0.230393,1.209231
0.320,0.039122,0.039122,4.00,4.400878,0.229992,1.209231
0.321,0.102063,0.102063,4.00,4.337937,0.229654,1.209231
0.322,0.124802,0.124802,4.00,4.315198,0.229338,1.209231
0.323,0.157251,0.157251,4.00,4.282749,0.229056,1.209231
0.324,0.179339,0.179339,4.00,4.260661,0.228795,1.209231
0.325,0.186085,0.186085,4.00,4.253915,0.228541,1.209231
0.326,0.238753,0.238753,4.00,4.201247,0.228340,1.209231
0.327,0.256882,0.256882,4.00,4.183118,0.228157,1.209231
0.328,0.314599,0.314599,4.00,4.125401,0.228031,1.209231
0.329,0.335764,0.335764,4.00,4.104236,0.227927,1.209231
0.330,0.354269,0.354269,4.00,4.085731,0.227841,1.209231
0.331,0.370448,0.370448,4.00,4.069552,0.227772,1.209231
0.332,0.384396,0.384396,4.00,4.055604,0.227716,1.209231
0.333,0.377940,0.377940,4.00,4.062060,0.227654,1.209231
0.334,0.372295,0.372295,4.00,4.067705,0.227587,1.209231
0.335,0.392493,0.392493,4.00,4.047507,0.227539,1.209231
0.336,0.416435,0.416435,4.00,4.023565,0.227515,1.209231
0.337,0.448599,0.448599,4.00,3.991401,0.227524,1.209231
0.338,0.434075,0.434075,4.00,4.005925,0.227518,1.209231
0.339,0.421376,0.421376,4.00,4.018624,0.227499,1.209231
0.340,0.422839,0.422839,4.00,4.017161,0.227482,1.209231
0.341,0.430402,0.430402,4.00,4.009598,0.227473,1.209231
0.342,0.442006,0.442006,4.00,3.997994,0.227475,1.209231
0.343,0.453443,0.453443,4.00,3.986557,0.227488,1.209231
0.344,0.476009,0.476009,4.00,3.963991,0.227524,1.209231
0.345,0.476890,0.476890,4.00,3.963110,0.227561,1.209231
0.346,0.477660,0.477660,4.00,3.962340,0.227599,1.209231
0.347,0.502476,0.502476,4.00,3.937524,0.227661,1.209231
0.348,0.512598,0.512598,4.00,3.927402,0.227734,1.209231
0.349,0.534014,0.534014,4.00,3.905986,0.227828,1.209231
0.350,0.546455,0.546455,4.00,3.893545,0.227934,1.209231
0.351,0.563616,0.563616,4.00,3.876384,0.228058,1.209231
0.352,0.615294,0.615294,4.00,3.824706,0.228233,1.209231
0.353,0.623805,0.623805,4.00,3.816195,0.228417,1.209231
0.354,0.637947,0.637947,4.00,3.802053,0.228615,1.209231
0.355,0.662460,0.662460,4.00,3.777540,0.228837,1.209231
0.356,0.683894,0.683894,4.00,3.756106,0.229081,1.209231
0.357,0.696350,0.696350,4.00,3.743650,0.229338,1.209231
0.358,0.729330,0.729330,4.00,3.710670,0.229627,1.209231
0.359,0.742360,0.742360,4.00,3.697640,0.229929,1.209231
0.360,0.766319,0.766319,4.00,3.673681,0.230256,1.209231
0.361,0.787268,0.787268,4.00,3.652732,0.230603,1.209231
0.362,0.805583,0.805583,4.00,3.634417,0.230969,1.209231
0.363,0.836389,0.836389,4.00,3.603611,0.231365,1.209231
0.364,0.848532,0.848532,4.00,3.591468,0.231773,1.209231
0.365,0.877999,0.877999,4.00,3.562001,0.232211,1.209231
0.366,0.897479,0.897479,4.00,3.542521,0.232669,1.209231
0.367,0.908228,0.908228,4.00,3.531772,0.233137,1.209231
0.368,0.921141,0.921141,4.00,3.518859,0.233618,1.209231
0.369,0.947766,0.947766,4.00,3.492234,0.234126,1.209231
0.370,0.971046,0.971046,4.00,3.468954,0.234657,1.209231
0.371,1.010250,1.010250,4.00,3.429750,0.235227,1.209231
0.372,1.038244,1.038244,4.00,3.401756,0.235826,1.209231
0.373,1.071554,1.071554,4.00,3.368446,0.236457,1.209231
0.374,1.085561,1.085561,4.00,3.354439,0.237103,1.209231
0.375,1.097808,1.097808,4.00,3.342192,0.237761,1.209231
0.376,1.127366,1.127366,4.00,3.312634,0.238448,1.209231
0.377,1.165776,1.165776,4.00,3.274224,0.239174,1.209231
0.378,1.193075,1.193075,4.00,3.246925,0.239927,1.209231
0.379,1.193075,1.193075,4.00,3.246925,0.240680,1.209231
0.380,1.267838,1.267838,4.00,3.172162,0.241508,1.209231
0.381,1.276029,1.276029,4.00,3.163971,0.242344,1.209231
0.382,1.289474,1.289474,4.00,3.150526,0.243193,1.209231
0.383,1.323284,1.323284,4.00,3.116716,0.244076,1.209231
0.384,1.343357,1.343357,4.00,3.096643,0.244980,1.209231
0.385,1.360908,1.360908,4.00,3.079092,0.245901,1.209231
0.386,1.382536,1.382536,4.00,3.057464,0.246843,1.209231
0.387,1.414013,1.414013,4.00,3.025987,0.247817,1.209231
0.388,1.442043,1.442043,4.00,2.997957,0.248819,1.209231
0.389,1.447193,1.447193,4.00,2.992807,0.249826,1.209231
0.390,1.464261,1.464261,4.00,2.975739,0.250851,1.209231
0.391,1.498034,1.498034,4.00,2.941966,0.251909,1.209231
0.392,1.502431,1.502431,4.00,2.937569,0.252971,1.209231
0.393,1.480588,1.480588,4.00,2.959412,0.254012,1.209231
0.394,1.475667,1.475667,4.00,2.964333,0.255047,1.209231
0.395,1.458550,1.458550,4.00,2.981450,0.256066,1.209231
0.396,1.461625,1.461625,4.00,2.978375,0.257088,1.209231
0.397,1.476880,1.476880,4.00,2.963120,0.258125,1.209231
0.398,1.496501,1.496501,4.00,2.943499,0.259181,1.209231
0.399,1.494807,1.494807,4.00,2.945193,0.260236,1.209231
0.400,1.510091,1.510091,4.00,2.929909,0.261306,1.209231
0.401,1.525538,1.525538,4.00,2.914462,0.262391,1.209231
0.402,1.532762,1.532762,4.00,2.907238,0.263484,1.209231
0.403,1.539077,1.539077,4.00,2.900923,0.264583,1.209231
0.404,1.544599,1.544599,4.00,2.895401,0.265688,1.209231
0.405,1.523022,1.523022,4.00,2.916978,0.266771,1.209231
0.406,1.499146,1.499146,4.00,2.940854,0.267830,1.209231
0.407,1.490836,1.490836,4.00,2.949164,0.268881,1.209231
0.408,1.477288,1.477288,4.00,2.962712,0.269918,1.209231
0.409,1.465442,1.465442,4.00,2.974558,0.270944,1.209231
0.410,1.427179,1.427179,4.00,3.012821,0.271931,1.209231
0.411,1.396497,1.396497,4.00,3.043503,0.272887,1.209231
0.412,1.394803,1.394803,4.00,3.045197,0.273842,1.209231
0.413,1.380756,1.380756,4.00,3.059244,0.274783,1.209231
0.414,1.362191,1.362191,4.00,3.077809,0.275705,1.209231
0.415,1.361603,1.361603,4.00,3.078397,0.276627,1.209231
0.416,1.364295,1.364295,4.00,3.075705,0.277551,1.209231
